timestamp,host_id,host_name,cpu_user,cpu_system,cpu_idle,cpu_load,memory_total,memory_used,memory_free,ksm_cpu,swap_total,swap_used,swap_free,boot_time,cpu_total,mem_percent,swap_percent,cpu_sma_5,cpu_sma_15,load_sma_5,mem_sma_5,cpu_delta,mem_delta
2026-05-09 14:11:41.315337,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,1,2,97.0,2.2,8319401984,6073163448,2246238536,0,8454668288,0,8454668288,1778324567,3,72.99999999615358,0.0,2.8,3.0,2.3,71.19999999269177,0.0,0.0
2026-05-09 14:11:51.376936,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,2,1,98.0,2.1,8319401984,6073163448,2246238536,0,8454668288,0,8454668288,1778324567,3,72.99999999615358,0.0,3.0,2.8666666666666667,2.24,71.79999999384572,0.0,0.0
2026-05-09 14:12:01.440802,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,1,2,97.0,2.1,8319401984,6239551488,2079850496,0,8454668288,0,8454668288,1778324567,3,75.0,0.0,3.2,2.8666666666666667,2.18,72.79999999576894,0.0,2.0000000038464236
2026-05-09 14:12:11.500272,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,1,2,97.0,2.1,8319401984,6239551488,2079850496,0,8454668288,0,8454668288,1778324567,3,75.0,0.0,3.0,2.8666666666666667,2.14,73.79999999769215,0.0,0.0
2026-05-09 14:12:21.568149,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,2,1,97.0,2.0,8319401984,6239551488,2079850496,0,8454668288,0,8454668288,1778324567,3,75.0,0.0,3.0,2.933333333333333,2.1,74.19999999846144,0.0,0.0
2026-05-09 14:12:31.628414,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,1,2,96.0,1.9,8319401984,4409283051,3910118933,0,8454668288,0,8454668288,1778324567,3,52.99999999374955,0.0,3.0,3.0,2.04,70.19999999798063,0.0,-22.000000006250453
2026-05-09 14:12:41.712195,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,1,2,96.0,1.9,8319401984,4409283051,3910118933,0,8454668288,0,8454668288,1778324567,3,52.99999999374955,0.0,3.0,3.066666666666667,2.0,66.19999999749982,0.0,0.0
2026-05-09 14:12:51.779271,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,2,1,98.0,1.8,8319401984,4409283051,3910118933,0,8454668288,0,8454668288,1778324567,3,52.99999999374955,0.0,3.0,3.0,1.94,61.79999999624973,0.0,0.0
2026-05-09 14:13:01.843394,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,1,1,98.0,1.8,8319401984,4409283051,3910118933,0,8454668288,0,8454668288,1778324567,2,52.99999999374955,0.0,2.8,2.8666666666666667,1.8800000000000001,57.399999994999646,-1.0,0.0
2026-05-09 14:13:11.908011,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,1,1,98.0,1.7,8319401984,4326089031,3993312953,0,8454668288,0,8454668288,1778324567,2,51.99999999182634,0.0,2.6,2.7333333333333334,1.8199999999999998,52.79999999336491,0.0,-1.0000000019232047
2026-05-09 14:13:21.974238,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,1,1,98.0,1.7,8319401984,4326089031,3993312953,0,8454668288,0,8454668288,1778324567,2,51.99999999182634,0.0,2.4,2.7333333333333334,1.78,52.59999999298027,0.0,0.0
2026-05-09 14:13:32.044233,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,4,4,92.0,1.7,8319401984,4409283051,3910118933,0,8454668288,0,8454668288,1778324567,8,52.99999999374955,0.0,3.4,3.1333333333333333,1.7399999999999998,52.59999999298026,6.0,1.0000000019232047
2026-05-09 14:13:42.112476,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,6,13,80.0,1.7,8319401984,5158029230,3161372754,0,8454668288,0,8454668288,1778324567,19,61.999999999038394,0.0,6.6,4.266666666666667,1.72,54.39999999403803,11.0,9.000000005288847
2026-05-09 14:13:52.323129,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,6,13,80.0,1.7,8319401984,5158029230,3161372754,0,8454668288,0,8454668288,1778324567,19,61.999999999038394,0.0,10.0,5.266666666666667,1.7,56.1999999950958,0.0,0.0
2026-05-09 14:14:02.500401,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,9,6,86.0,1.7,8319401984,5573999329,2745402655,0,8454668288,0,8454668288,1778324567,15,66.99999999663437,0.0,12.6,6.066666666666666,1.7,59.19999999605741,-4.0,4.999999997595978
2026-05-09 14:14:12.561899,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,2,1,97.0,1.6,8319401984,5573999329,2745402655,0,8454668288,0,8454668288,1778324567,3,66.99999999663437,0.0,12.8,6.066666666666666,1.6800000000000002,62.19999999701902,-12.0,0.0
2026-05-09 14:14:22.620489,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,2,1,97.0,1.6,8319401984,5573999329,2745402655,0,8454668288,0,8454668288,1778324567,3,66.99999999663437,0.0,11.8,6.066666666666666,1.6600000000000001,64.99999999759598,0.0,0.0
2026-05-09 14:14:32.685111,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,2,1,97.0,1.5,8319401984,4575671091,3743730893,0,8454668288,0,8454668288,1778324567,3,54.999999997595985,0.0,8.6,6.066666666666666,1.6199999999999999,63.5999999973075,0.0,-11.999999999038387
2026-05-09 14:14:42.753172,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,0,0,0.0,0.0,8319401984,0,8319401984,0,8454668288,0,8454668288,1778324567,0,0.0,0.0,4.8,5.866666666666666,1.28,51.199999997499816,-3.0,-54.999999997595985
2026-05-09 14:14:52.818507,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,0,0,0.0,0.0,8319401984,0,8319401984,0,8454668288,0,8454668288,1778324567,0,0.0,0.0,1.8,5.666666666666667,0.9400000000000002,37.79999999817294,0.0,0.0
2026-05-09 14:15:02.878460,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,0,0,0.0,0.0,8319401984,0,8319401984,0,8454668288,0,8454668288,1778324567,0,0.0,0.0,1.2,5.466666666666667,0.62,24.399999998846074,0.0,0.0
2026-05-09 14:15:12.940804,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,0,0,0.0,0.0,8319401984,0,8319401984,0,8454668288,0,8454668288,1778324567,0,0.0,0.0,0.6,5.266666666666667,0.3,10.999999999519197,0.0,0.0
2026-05-09 14:15:23.000215,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,0,0,0.0,0.0,8319401984,0,8319401984,0,8454668288,0,8454668288,1778324567,0,0.0,0.0,0.0,5.066666666666666,0.0,0.0,0.0,0.0
2026-05-09 14:15:33.058692,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,0,0,0.0,0.0,8319401984,0,8319401984,0,8454668288,0,8454668288,1778324567,0,0.0,0.0,0.0,4.933333333333334,0.0,0.0,0.0,0.0
2026-05-09 14:15:43.119419,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,0,0,0.0,0.0,8319401984,0,8319401984,0,8454668288,0,8454668288,1778324567,0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0
2026-05-09 14:15:53.187941,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,0,0,0.0,0.0,8319401984,0,8319401984,0,8454668288,0,8454668288,1778324567,0,0.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0
2026-05-09 14:16:03.262068,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,0,0,100.0,0.0,8319401984,0,8319401984,0,8454668288,0,8454668288,0,0,0.0,0.0,0.0,4.133333333333334,0.0,0.0,0.0,0.0
2026-05-09 14:16:13.331592,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,4,7,89.0,1.4,8319401984,6073163448,2246238536,0,8454668288,0,8454668288,1778324567,11,72.99999999615358,0.0,2.2,3.6,0.27999999999999997,14.599999999230715,11.0,72.99999999615358
2026-05-09 14:16:23.391822,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,3,2,95.0,1.4,8319401984,6405939527,1913462457,0,8454668288,0,8454668288,1778324567,5,76.99999999182634,0.0,3.2,2.6666666666666665,0.5599999999999999,29.999999997595985,-6.0,3.9999999956727663
2026-05-09 14:16:33.455134,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,3,2,95.0,1.4,8319401984,6405939527,1913462457,0,8454668288,0,8454668288,1778324567,5,76.99999999182634,0.0,4.2,2.0,0.8399999999999999,45.39999999596125,0.0,0.0
2026-05-09 14:16:43.511872,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,2,2,96.0,1.3,8319401984,6489133547,1830268437,0,8454668288,0,8454668288,1778324567,4,77.99999999374954,0.0,5.0,2.066666666666667,1.1,60.99999999471116,-1.0,1.0000000019231976
2026-05-09 14:16:53.579070,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,1,1,98.0,1.2,8319401984,6489133547,1830268437,0,8454668288,0,8454668288,1778324567,2,77.99999999374954,0.0,5.4,2.0,1.3399999999999999,76.59999999346107,-2.0,0.0
2026-05-09 14:17:03.638044,6b471a9f-ea73-4975-bc1b-ef86d2dd5559,redhost1.adris.local,1,1,98.0,1.2,8319401984,6489133547,1830268437,0,8454668288,0,8454668288,1778324567,2,77.99999999374954,0.0,3.6,1.9333333333333333,1.2999999999999998,77.59999999298026,0.0,0.0
